name,url,checked_date
ホテルニュー梅屋,https://www.hotpepper.jp/strJ001234561/,2020-11-07
東京バル,https://www.hotpepper.jp/strJ001108652/,2020-11-07
京華小吃（ジンホア） つくば店,https://www.hotpepper.jp/strJ001120537/,2020-11-07
手羽だるま　つくば店,https://www.hotpepper.jp/strJ001215279/,2020-11-07
お好み焼本舗　つくば店,https://www.hotpepper.jp/strJ000842320/,2020-11-07
チャーハン専門店 HOTEL SEIREN イーアスつくば店 ,https://www.hotpepper.jp/strJ001258734/,2020-11-07
チムニー・ギオット,https://www.hotpepper.jp/strJ000311486/,2020-11-07
【11/24 OPEN予定】東京バルGardenTerrace,https://www.hotpepper.jp/strJ001250813/,2020-11-07
シュラスコ　B,https://www.hotpepper.jp/strJ001153020/,2020-11-07
モッツバー高の家　本店（デイズタウン1F）,https://www.hotpepper.jp/strJ000676592/,2020-11-07
Spanish Bar Bonito -スパニッシュバル　ボニート-,https://www.hotpepper.jp/strJ001133408/,2020-11-07
季彩　かがり,https://www.hotpepper.jp/strJ000763985/,2020-11-07
全席個室居酒屋　彩鳥鶏(いろとりどり),https://www.hotpepper.jp/strJ001233518/,2020-11-07
鳥のや 總本店 ,https://www.hotpepper.jp/strJ001142908/,2020-11-07
モッツバー　高の家　研究学園店,https://www.hotpepper.jp/strJ000853997/,2020-11-07
やまとや酒場　惣吉　つくば研究学園店,https://www.hotpepper.jp/strJ000821030/,2020-11-07
晩酌屋　ふらり,https://www.hotpepper.jp/strJ001125301/,2020-11-07
Cafe＆Diner hungry,https://www.hotpepper.jp/strJ001133787/,2020-11-07
鳥吉　吾妻店,https://www.hotpepper.jp/strJ000311726/,2020-11-07
旬鮮こだわり調味料　創作酒房　るし庵,https://www.hotpepper.jp/strJ001161354/,2020-11-07
【9/4リニューアル】蓮屋権左衛門,https://www.hotpepper.jp/strJ001177037/,2020-11-07
【10/8 OPEN】HOTPOT羊SUNRISE,https://www.hotpepper.jp/strJ001250812/,2020-11-07
おもてなし　つくば店,https://www.hotpepper.jp/strJ001055429/,2020-11-07
ジンホア　つくば松代店,https://www.hotpepper.jp/strJ001226882/,2020-11-07
トラットリア　ルッソ,https://www.hotpepper.jp/strJ001126704/,2020-11-07
韓国家庭料理　済州（チェジュ）,https://www.hotpepper.jp/strJ000809867/,2020-11-07
茨城地産地消 あんこう鍋×和牛もつ 全席個室　もんどころ　つくば駅前デイズタウン店,https://www.hotpepper.jp/strJ001030651/,2020-11-07
うまいもん処つくば店,https://www.hotpepper.jp/strJ000962246/,2020-11-07
Cruise(クルーズ),https://www.hotpepper.jp/strJ000356181/,2020-11-07
九州屋台　二代目九次郎　研究学園エビスタウン店,https://www.hotpepper.jp/strJ001120529/,2020-11-07
牛タン×和牛もつ鍋×豚キムチ火鍋　全席個室居酒屋　味斗　つくばエビスタウン店,https://www.hotpepper.jp/strJ001120491/,2020-11-07
つくば　山水亭,https://www.hotpepper.jp/strJ000101735/,2020-11-07
焼肉・しゃぶしゃぶれんが亭つくば店,https://www.hotpepper.jp/strJ000728875/,2020-11-07
グランブッフェ　イーアスつくば,https://www.hotpepper.jp/strJ001232115/,2020-11-07
しゃぶしゃぶ　すき焼　どん亭　つくば研究学園前,https://www.hotpepper.jp/strJ001216172/,2020-11-07
【10/2リニューアル】炭火焼き鳥　鳥吉　谷田部店,https://www.hotpepper.jp/strJ000739808/,2020-11-07
牛タンしゃぶしゃぶ×和牛もつ鍋×ブリしゃぶ　全席個室　忍家　つくば研究学園駅前店,https://www.hotpepper.jp/strJ001120476/,2020-11-07
焼肉　貴韓房　イオンつくば店,https://www.hotpepper.jp/strJ001249274/,2020-11-07
魚と肴　とおるの台所,https://www.hotpepper.jp/strJ001238886/,2020-11-07
鹿児島県霧島市　塚田農場　つくば店,https://www.hotpepper.jp/strJ001143996/,2020-11-07
DiningBar White Basil(ダイニングバー　ホワイトバジル) ,https://www.hotpepper.jp/strJ000765605/,2020-11-07
Mille　Fleur（ミルフルール）,https://www.hotpepper.jp/strJ000658376/,2020-11-07
和牛焼肉・ホルモン　和っ牛！(わっぎゅう),https://www.hotpepper.jp/strJ001144454/,2020-11-07
九州博多串焼き工房　MIKAN（ミカン）,https://www.hotpepper.jp/strJ001152947/,2020-11-07
くしやバル えちぜん 研究学園,https://www.hotpepper.jp/strJ001215881/,2020-11-07
洞峰　はなび,https://www.hotpepper.jp/strJ001215122/,2020-11-07
餃子酒場 TSUTSUMIYA 研究学園店,https://www.hotpepper.jp/strJ001207881/,2020-11-07
セルフ酒場　グータッチ,https://www.hotpepper.jp/strJ001184701/,2020-11-07
地鶏ともつ鍋　丸九　研究学園店,https://www.hotpepper.jp/strJ001159849/,2020-11-07
肉バル×TAPAS酒場 びすとろ椿々 cin‐cin　Biviつくば店,https://www.hotpepper.jp/strJ001225419/,2020-11-07
【10/31 OPEN】握りと串天ぷら　六,https://www.hotpepper.jp/strJ001134361/,2020-11-07
串カツ田中　つくば研究学園店,https://www.hotpepper.jp/strJ001232522/,2020-11-07
創作中華　えん弥　東光台店,https://www.hotpepper.jp/strJ001207958/,2020-11-07
居酒屋　壽家,https://www.hotpepper.jp/strJ001195339/,2020-11-07
餃子酒場　TSUTSUMIYA　つくば店,https://www.hotpepper.jp/strJ001200635/,2020-11-07
LATIGO（ラティーゴ）/麺 the Tokyo,https://www.hotpepper.jp/strJ001136468/,2020-11-07
札幌ラム屋台　ジンギスカンとハイボール　ラム吉,https://www.hotpepper.jp/strJ001134367/,2020-11-07
慈久庵つくば荘 手打ちそば居酒屋 酒趣,https://www.hotpepper.jp/strJ001193277/,2020-11-07
焼きもの家　慶,https://www.hotpepper.jp/strJ001120509/,2020-11-07
